DATE,OECDLOLITOAASTSAM
1961-06-01,101.021947588388
1961-07-01,101.111859729299
1961-08-01,101.151995789147
1961-09-01,101.147612849227
1961-10-01,101.112022987184
1961-11-01,101.056992890892
1961-12-01,100.961083335368
1962-01-01,100.822928665874
1962-02-01,100.652857698043
1962-03-01,100.456238590475
1962-04-01,100.248360090497
1962-05-01,100.04406977434
1962-06-01,99.8583769234637
1962-07-01,99.7178743287113
1962-08-01,99.6315101008051
1962-09-01,99.6016309824069
1962-10-01,99.6203014545794
1962-11-01,99.6826071956808
1962-12-01,99.7722061589959
1963-01-01,99.8792318671883
1963-02-01,100.002640666016
1963-03-01,100.140103037237
1963-04-01,100.274404181302
1963-05-01,100.384936073778
1963-06-01,100.459419059118
1963-07-01,100.505705571027
1963-08-01,100.529914405379
1963-09-01,100.543045657245
1963-10-01,100.547056792533
1963-11-01,100.546827199712
1963-12-01,100.553791039422
1964-01-01,100.576629098539
1964-02-01,100.605952672388
1964-03-01,100.630566014012
1964-04-01,100.646041671235
1964-05-01,100.652173830782
1964-06-01,100.647031769685
1964-07-01,100.623911276185
1964-08-01,100.58373349445
1964-09-01,100.537248543689
1964-10-01,100.489340169908
1964-11-01,100.453774256873
1964-12-01,100.434665384851
1965-01-01,100.42268123001
1965-02-01,100.401690634694
1965-03-01,100.35978124013
1965-04-01,100.296423513049
1965-05-01,100.227498463374
1965-06-01,100.173511260198
1965-07-01,100.157930122798
1965-08-01,100.192019341215
1965-09-01,100.275702867659
1965-10-01,100.398495496609
1965-11-01,100.541577492535
1965-12-01,100.685865033221
1966-01-01,100.800474382656
1966-02-01,100.859988292002
1966-03-01,100.841563943973
1966-04-01,100.744447090114
1966-05-01,100.572181598517
1966-06-01,100.348594946518
1966-07-01,100.090348354752
1966-08-01,99.8168456842956
1966-09-01,99.5505202389901
1966-10-01,99.3052382217368
1966-11-01,99.0995970826502
1966-12-01,98.9484516362402
1967-01-01,98.8632483995634
1967-02-01,98.8376186259894
1967-03-01,98.8804090403245
1967-04-01,98.9870626415022
1967-05-01,99.1458175805748
1967-06-01,99.3367954591326
1967-07-01,99.544051982818
1967-08-01,99.7504026880597
1967-09-01,99.9387264887936
1967-10-01,100.094312604588
1967-11-01,100.209149166903
1967-12-01,100.285028752816
1968-01-01,100.328024312836
1968-02-01,100.358841937291
1968-03-01,100.393484568097
1968-04-01,100.446724009438
1968-05-01,100.524114674698
1968-06-01,100.623333389632
1968-07-01,100.749780467743
1968-08-01,100.900343030236
1968-09-01,101.061257557176
